name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
"""Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2000-05-11,10,,0,"""20,133""","""20,234""",0.0019,54.9,718.03
"""Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2000-07-16,10,,0,"""20,184""","""20,427""",0.00455,55,722.98
"""Navstar GPS IIR-6 (Navstar SVN 41, PRN 14, USA 154)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2000-11-10,10,,0,"""20,177""","""20,498""",0.00601,55,724.28
"""Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2001-01-30,10,,0,"""20,104""","""20,266""",0.00305,55,718.09
"""Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2003-01-29,10,,0,"""20,155""","""20,344""",0.00355,55,720.71
"""Navstar GPS IIR-9 (Navstar SVN 45, PRN 21, USA 168)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2003-03-31,10,,0,"""20,063""","""20,433""",0.00695,54.9,720.65
"""Navstar GPS IIR-10 (Navstar SVN 47, PRN 22, USA 175)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2003-12-21,10,,0,"""19,963""","""20,327""",0.00686,55.1,716.47
"""Navstar GPS IIR-11 (Navstar SVN 59, PRN 19, USA 177)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2004-03-20,10,"""Precise position data (accurate to within 16 m) to military and civilian users worldwide; constellation of 28 operational satellites; 6 orbit planes; corporate vehicle fleet tracking, surveying, recreational use; nuclear detonation detection sensors.""",0,"""20,089""","""20,276""",0.00352,55,717.98
"""Navstar GPS IIR-12 (Navstar SVN 60, PRN 23, USA 178)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2004-06-23,10,,0,"""20,072""","""20,292""",0.00414,55.37,717.96
"""Navstar GPS IIR-13 (Navstar SVN 61, PRN 02, USA 180)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2004-11-06,10,,0,"""19,938""","""20,426""",0.00919,54.8,718
"""Navstar GPS IIR-M-1 (Navstar SVN 53, PRN 17, USA 183)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2005-09-26,10,Two more military and one civilian channels that earlier versions.,0,"""20,142""","""20,221""",0.00149,55.08,717.95
"""Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2006-09-25,10,,0,"""20,020""","""20,342""",0.00606,54.94,717.93
"""Navstar GPS IIR-M-3 (Navstar SVN 58, PRN 12, USA 192)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2006-11-17,10,,0,"""20,206""","""20,366""",0.003,55.02,722.19
"""Navstar GPS IIR-M-4 (Navstar SVN 55, PRN 15, USA 196)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2007-10-17,10,,0,"""20,149""","""20,213""",0.00121,54.8,717.93
"""Navstar GPS IIR-M-5 (Navstar SVN 57, PRN 29, USA 199)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2007-12-20,10,,0,"""20,150""","""20,311""",0.00303,54.96,719.92
"""Navstar GPS IIR-M-6 (Navstar SVN 48, PRN 07, USA 201)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2008-03-15,10,,0,"""20,135""","""20,152""",0.000321,55.1,716.4
"""Navstar GPS IIR-M-8 (Navstar SVN 50, PRN 05, USA 206)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2009-08-17,10,,0,"""20,160""","""20,209""",0.000923,55.12,718.07
"""Navstar GPS IIF-1 (Navstar SVN 62, PRN 25, USA 213)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2010-05-28,12,First in the IIF series.,0,"""20,188""","""20,224""",0.000677,55,718.94
"""Navstar GPS IIF-2 (Navstar SVN 63, PRN 01, USA 232)""",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,MEO,,2011-07-16,12,,0,"""20,451""","""20,464""",0.000242,55.03,729.18
MUOS-1 (Mobile User Objective System 1),USA,DoD/US Navy,Military,Communications,GEO,,2012-02-24,,Four primary satellites and one orbiting spare will comprise the MUOS system as it is fielded over the next few years to augment and then replace the Navy's aging Ultra High Frequency spacecraft constellation. Orbital parameters estimated.,,"""35,800""","""35,800""",0,,1436.1
EOS-AM Terra ,USA/Canada/Japan,Earth Sciences Enterprise (NASA),Government,Earth Science,LEO,Sun-Synchronous,1999-12-18,6,,0,655,686,0.0022,98.2,98.15
Nimiq 5,Canada,Echostar Corporation (entire payload leased from Telesat Canada Ltd.),Commercial,Communications,GEO,,2009-09-17,15,32 Ku-band transponders. Full capacity leased to Echostar Corporation for life of satellite.,-72.7,"""35,700""","""35,700""",0,0.01,1436.1
SwissCube,Switzerland,Ecole Polytechnique F_d_rale de Lausanne (EPFL),Civil,Technology Development,LEO,Sun-Synchronous,2009-09-23,1,Overall SwissCube project development is primarily to educate students in space technologies and space system engineering,0,714,724,0.000705,98.34,99.17
Nilesat 101 ,Egypt,Egyptian Radio and TV Union ,Government,Communications,GEO,,1998-04-28,15,"""Large parts of the Arab world, the Middle East, north and central Africa and southern Europe.""",-7,"""35,771""","""35,800""",0.000344,0.05,1436.04
Nilesat 102 ,Egypt,Egyptian Radio and TV Union ,Government,Communications,GEO,,2000-08-17,15,"""Large parts of the Arab world, the Middle East, north and central Africa and southern Europe.""",-7.03,"""35,764""","""35,808""",0.000522,0.03,1436.08
Nilesat 201,Egypt,Egyptian Radio and TV Union ,Government,Communications,GEO,,2010-08-04,15,"""Direct-to-home, radio, and bradoband internet services to Africa and the Middle East; 24 Ku-band and 4 Ka-band transponders.""",-7,"""35,795""","""35,813""",0.000213,0.05,1436.23
DubaiSat-1,UAE,Emirates Institution for Advanced Science & Technology (EIAST),Government,Earth Observation,LEO,Sun-Synchronous,2009-07-29,5,"""Optical imaging camera; will be used for urban development, scientific research, telecommunications, transportation, construction and mapping, water quality and engineering tests.""",0,666,682,0.00114,98.13,98.23
MetOp-A (Meteorological Operational satellite),Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Science/Meteorology,LEO,Polar,2006-10-19,5,First polar-orbiting European meteorological satellite.,0,813,830,0.00118,98.73,101.34
Meteosat 7 (MTP 1) ,Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,GEO,,1997-09-02,5,Meteorological spacecraft; intended primarily to support the National Meteorological Services (NMS) of Member States,-57.85,"""35,770""","""35,797""",0.00032,4.71,1435.96
"""Meteosat 8 (MSGalaxy-1, MSG-1)""",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,GEO,,2002-08-21,12,Meteorological spacecraft; intended primarily to support the National Meteorological Services (NMS) of Member States; planned system of 3 satellites,9.27,"""35,781""","""35,793""",0.000142,0.46,1436.1
"""Meteosat 9 (MSGalaxy-2, MSG 2)""",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Science/Meteorology,GEO,,2005-12-21,12,Meteorological spacecraft; intended primarily to support the National Meteorologicla Services (NMS) of Member States; planned system of 3 satellites.,-0.02,"""35,775""","""35,795""",0.000237,0.29,1436
Eurasiasat 1 (Turksat 2A),Turkey/France,Eurasiasat SAM/Alcatel Space,Commercial,Communications,GEO,,2001-01-10,15,"""32 Ku-band transponders; direct-to-home voice, video, and data transmissions to countries between central Europe and the Indian subcontinent.""",42.08,"""35,761""","""35,810""",0.000581,0.02,1436.06
"""Europe*Star 1 (Intelsat 12, Europe*Star FM1, IS-12, PAS-12)""",Multinational,Europe*Star (Altacel; Loral Global Alliance),Commercial,Communications,GEO,,2000-10-29,18,30 Ku-band; highest powered Ku-band cross connection between South East Asia and Europe.,45.04,"""35,776""","""35,796""",0.000237,0,1436.09
Artemis (Advanced Data Relay and Technology Mission Satellite) ,ESA,European Space Agency,Commercial/Government,Communications/Research,GEO,,2001-07-12,10,"""An 18-month rescue mission recovered the satellite; develop European capabilities in satellite communications; test new technologies; support development of European navigation system (EGNOS, c. 2010).""",21.36,"""35,771""","""35,803""",0.00038,7.03,1436.12
GIOVE-A (Galileo In-Orbit Validation Element-A),ESA,European Space Agency,Commercial,Demonstration for Navigation/Global Positioning,MEO,,2005-12-28,2,"""Test version of 30-satellite (27 active, 3 spares) Galileo constellation. Will be used for radiation monitoring to protect Galileo system.""",0,"""23,228""","""23,281""",0.000895,56,846.1
GIOVE-B (Galileo In-Orbit Validation Element-B),ESA,European Space Agency,Commercial,Demonstration for Navigation/Global Positioning,MEO,,2008-04-26,,"""Test version of 30-satellite (27 active, 3 spares) Galileo constellation. Will be used for radiation monitoring to protect Galileo system.""",0,"""23,105""","""23,244""",0.00235,55.98,842.66
Galileo IOV-1 FM2,ESA,European Space Agency,Commerical,Navigation/Global Positioning,MEO,,2011-10-21,12,Operational nucleus of the full 30-satellite constellation.,0,"""23,242""","""23,307""",0.0011,54.67,846.98
Galileo IOV-1 PFM,ESA,European Space Agency,Commercial,Navigation/Global Positioning,MEO,,2011-10-21,12,Operational nucleus of the full 30-satellite constellation.,0,"""23,240""","""23,306""",0.00111,54.68,846.88
"""Salsa (part of Cluster quartet, Cluster 2 FM6)""",ESA,European Space Agency (and 250 international scientific investigators),Government,Space Physics,Elliptical,Deep Highly Eccentric,2000-07-16,4,"""Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.""",0,"""16,809""","""120,768""",0.692,90.7,"""3,418"""
"""Samba (part of Cluster quartet, Cluster 2 FM7)""",ESA,European Space Agency (and 250 international scientific investigators),Government,Space Physics,Elliptical,Deep Highly Eccentric,2000-07-16,4,"""Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.""",0,"""17,007""","""120,923""",0.69,90.5,"""3,430.28"""
"""Rumba (part of Cluster quartet, Cluster 2 FM5)""",ESA,European Space Agency (and 250 international scientific investigators),Government,Space Physics,Elliptical,Deep Highly Eccentric,2000-08-09,4,"""Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.""",0,"""17,240""","""120,715""",0.687,90.8,3431.1
"""Tango (part of Cluster quartet, Cluster 2 FM8)""",ESA,European Space Agency (and 250 international scientific investigators),Government,Space Physics,Elliptical,Deep Highly Eccentric,2000-08-09,4,"""Collection of four spacecraft flying in formation around the earth, relaying detailed information about solar wind's affect on our planet in three dimensions.""",0,"""17,313""","""120,961""",0.686,90.7,"""3,442.00"""
Proba 1 (Project for On-Board Autonomy),ESA,European Space Agency (ESA),Government,Technology Demonstration,LEO,Sun-Synchronous,2001-10-22,2,"""First a technology demonstration, then extended for one year for remote sensing; looks like a washing machine.""",0,553,676,0.00881,97.9,96.98
Proba 2 (Project for On-Board Autonomy),ESA,European Space Agency (ESA),Government,Technology Demonstration,LEO,Sun-Synchronous,2009-11-02,2,Technology demonstration of 17 advanced satellite technologies; will perform 4 experiments.,0,711,728,0.0012,98.3,99.18
Cryosat-2 ,ESA,European Space Agency (ESA),Government,Earth Observation,LEO,,2010-04-08,3,"""Remote sensing, part of ESA's ice mission. Will measure polar ice for three years. Spacecraft has no solar panels.""",0,711,727,0.00113,92.02,99.16
"""Hubble Space Telescope (HST, Space Telescope)""",ESA/USA,European Space Agency/NASA,Government,Astrophysics/Planetary Science,LEO,Intermediate,1990-04-25,10,Exploration of space.,0,611,620,0.000644,28.4,97.01
GOCE (Gravity Field and Steady-State Ocean Circulation Explorer),ESA,European Space Operations Centre,Government,Earth Science,LEO,Sun-Synchronous,2009-03-17,,Mapping of the Earth's gravity field.,0,273,290,0.00128,96.71,90.14
XMM Newton (High Throughput X-ray Spectroscopy Mission),ESA,European Space Operations Centre (ESOC),Government,Space Physics,Elliptical,Deep Highly Eccentric,1999-12-10,2,Detect and study celestial x-ray sources.,0,"""7,079""","""114,027""",0.799,38.4,"""2,872.15"""
Integral (INTErnational Gamma-Ray Astrophysics Laboratory),ESA/USA/Russia,European Space Operations Centre (ESOC)/NASA/Russia,Government,Space Physics,Elliptical,Deep Highly Eccentric,2002-10-17,2,Astronomical satellite for observing the gamma-ray sky.,0,"""2,284""","""152,812""",0.897,52.1,"""4,032.86"""
Atlantic Bird 7,Multinational,European Telecommunications Satellite Consoritum (EUTELSAT)/Nilesat,Commercial,Communications,GEO,,2011-09-24,15,Replaces Atlantic Bird 4A at 7 West.,-7,"""35,774""","""35,799""",0.000297,0.06,1436.09
"""Eutelsat W-48 (Eurobird 9, Hot Bird 2, Eutelsat 2-F8, Eutelsat HB2)""",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,1996-11-21,14,"""Full coverage of Europe, Middle East, parts of Africa and Asia; 20 active channels""",9.08,"""35,757""","""35,815""",0.000688,0.08,1436.07
Atlantic Bird 4 (Hot Bird 4) ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,1998-02-27,14,Europe and North Africa; 20 active channels,-7.19,"""35,762""","""35,810""",0.000569,0.02,1436.1
"""Eurobird 2 (Arabsat 2D, Hot Bird 5)""",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,1998-09-10,12,"""Business services, satellite news gathering and television and radio programme distribution.""",25.59,"""35,771""","""35,799""",0.000332,0.06,1436.05
Eutelsat W-6 (Eutelsat W-3),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,1999-04-12,12,"""Broadcasting, telecommunications, direct-to-home tv, business services; 24 Ku-band transponders; Europe, Atlantic Islands, North Africa, Middle East, Central Asia.""",21.65,"""35,770""","""35,802""",0.00038,0.07,1436.09
SESAT-1 (Siberia-Europe Satellite),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,2000-04-17,,"""High-speed Internet access, high-volume data transmission, video broadcasting, messaging and positioning services; 18 Ku-band transponders.""",35.96,"""35,754""","""35,817""",0.000747,0.07,1436.06
Eutelsat W-4 ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,2000-05-24,12,"""Thirty-one operational channels, Western Russia,  majoritiy of central and southern Afirca.""",36.09,"""35,766""","""35,806""",0.000474,0.07,1436.08
Eurobird 4A (Eutelsat W-1),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,2000-09-06,12,"""Twenty-eight channels, Europe, Atlantic Islands, North Africa, Middle East, Central Asia.""",10.11,"""35,761""","""35,810""",0.000581,0.07,1436.06
Eurobird 1 (Eurosat 1),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,2001-03-08,12,Twenty-four channels; Western and Central Europe as far west as Canary Islands.,28.56,"""35,788""","""35,794""",0.0000712,0.07,1436.1
Atlantic Bird 2 ,Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,2001-09-25,15,European and American coverage.,-8.09,"""35,766""","""35,806""",0.000474,0.06,1436.1
Atlantic Bird 3 (Stellat 5),Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,,2002-07-05,15,"""45 transponders; Ku and C-band frequencies, Americas, Europe and Africa.""",-4.93,"""35,769""","""35,805""",0.000427,0.04,1436.08
